,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000804,726.9875511,-0.149645818,0.165520561,-0.904092017,0.365946611,0.816813274
ENSMUSG00000032997,816.3979388,0.149503921,0.165348864,0.904172655,0.365903858,0.816813274
ENSMUSG00000074170,25.12896351,-0.481337444,0.532420482,-0.904055084,0.365966193,0.816813274
ENSMUSG00000105710,15.40773836,-0.615875907,0.681234398,-0.904058734,0.365964258,0.816813274
ENSMUSG00000029629,510.3713957,-0.164023838,0.181522091,-0.903602622,0.36620615,0.817201227
ENSMUSG00000029530,81.56947947,-0.659555896,0.730499472,-0.902883468,0.366587746,0.817236178
ENSMUSG00000031960,1891.828149,-0.230316447,0.255093722,-0.902869917,0.366594939,0.817236178
ENSMUSG00000047539,890.0729899,0.136628378,0.151286517,0.903110076,0.366467477,0.817236178
ENSMUSG00000061887,1005.370875,-0.175551659,0.194447001,-0.902825232,0.366618658,0.817236178
ENSMUSG00000063052,266.24243,0.167398637,0.185372576,0.903038849,0.366505277,0.817236178
ENSMUSG00000100280,17.84923546,-0.444343341,0.492041489,-0.903060721,0.366493669,0.817236178
ENSMUSG00000041241,566.1198559,0.157231684,0.174220331,0.902487577,0.366797918,0.817488289
ENSMUSG00000022661,451.4884892,0.179059086,0.198493334,0.902091183,0.367008432,0.817547349
ENSMUSG00000025492,24.38589506,-0.489580245,0.542733432,-0.902063916,0.367022916,0.817547349
ENSMUSG00000045868,233.0173966,0.245063759,0.271664389,0.902082749,0.367012912,0.817547349
ENSMUSG00000016252,992.6280497,-0.320824125,0.355843139,-0.90158862,0.367275438,0.817801565
ENSMUSG00000056941,510.6010323,-0.137690532,0.15272582,-0.901553725,0.367293983,0.817801565
ENSMUSG00000116858,78.36311374,-0.314572888,0.348953375,-0.901475412,0.367335601,0.817801565
ENSMUSG00000034748,186.5555955,-0.289139428,0.320812181,-0.901273221,0.367443069,0.817841363
ENSMUSG00000035992,1079.674777,-0.189877625,0.210695914,-0.901192727,0.367485857,0.817841363
ENSMUSG00000079418,205.9507391,-0.18183903,0.201814526,-0.901020526,0.367577406,0.817897791
ENSMUSG00000042831,755.5438134,0.114317469,0.126893243,0.900894852,0.367644229,0.817899188
ENSMUSG00000048581,44.63275018,-0.409214454,0.45453467,-0.90029316,0.36796426,0.818463798
ENSMUSG00000030880,398.8789519,0.156814408,0.17424287,0.899976042,0.368133001,0.818691749
ENSMUSG00000032120,313.2218117,-0.217898257,0.242208543,-0.899630765,0.36831678,0.818874122
ENSMUSG00000087381,149.6617379,0.264740798,0.294296083,0.899572958,0.368347553,0.818874122
ENSMUSG00000031820,732.0080463,0.124530093,0.138512792,0.899051207,0.368625386,0.819049679
ENSMUSG00000033703,201.1030082,-0.341342633,0.379667299,-0.899057238,0.368622174,0.819049679
ENSMUSG00000060397,15.81914743,-0.665031749,0.73968684,-0.89907203,0.368614295,0.819049679
ENSMUSG00000020802,1360.315117,0.12785161,0.142236547,0.898866096,0.368723989,0.819121469
ENSMUSG00000002104,20.45737959,0.523453064,0.58316909,0.897600839,0.369398392,0.819319114
ENSMUSG00000003992,471.9526274,-0.202365086,0.225932945,-0.895686486,0.37042023,0.819319114
ENSMUSG00000004568,2205.047951,-0.235552503,0.262499187,-0.897345648,0.369534506,0.819319114
ENSMUSG00000005897,78.31089284,-0.39956684,0.445981944,-0.895926048,0.370292261,0.819319114
ENSMUSG00000007570,235.3809825,-0.250969321,0.280663997,-0.894198485,0.371215703,0.819319114
ENSMUSG00000015341,897.8921539,0.132566309,0.148187012,0.89458791,0.371007417,0.819319114
ENSMUSG00000018196,234.9042089,-0.209730995,0.234114527,-0.895847848,0.370334031,0.819319114
ENSMUSG00000019809,250.8236517,0.197291791,0.219811079,0.897551623,0.36942464,0.819319114
ENSMUSG00000020131,31.79821066,-0.522038675,0.58365304,-0.894433232,0.371090139,0.819319114
ENSMUSG00000022024,708.3762906,0.13647101,0.152025111,0.897687286,0.369352289,0.819319114
ENSMUSG00000022201,1877.550521,0.127766285,0.142193499,0.89853816,0.36889871,0.819319114
ENSMUSG00000024592,47.43623987,-0.340257474,0.379607203,-0.896340932,0.370070704,0.819319114
ENSMUSG00000027879,847.4871592,0.113553151,0.126859183,0.895111798,0.370727328,0.819319114
ENSMUSG00000029229,726.1478603,-0.125959219,0.140473438,-0.896676418,0.369891608,0.819319114
ENSMUSG00000036403,438.4172805,-0.153314821,0.171459851,-0.894173305,0.371229173,0.819319114
ENSMUSG00000036805,119.4597232,0.223615529,0.249879722,0.894892661,0.37084447,0.819319114
ENSMUSG00000038150,720.8365453,-0.137056931,0.152966031,-0.89599586,0.370254974,0.819319114
ENSMUSG00000039770,889.7925966,-0.140384361,0.156381552,-0.897704103,0.369343321,0.819319114
ENSMUSG00000040717,28.12318625,0.503562121,0.562539346,0.895158934,0.370702134,0.819319114
ENSMUSG00000044751,22.29631828,-0.435263239,0.486815161,-0.894103706,0.371266407,0.819319114
ENSMUSG00000045427,1772.542284,-0.095472618,0.10663006,-0.895363069,0.370593036,0.819319114
ENSMUSG00000047635,42.52791501,-0.318395828,0.35580729,-0.894854707,0.370864761,0.819319114
ENSMUSG00000048170,1714.093403,-0.141944258,0.158101425,-0.897805052,0.369289491,0.819319114
ENSMUSG00000049550,1251.660738,-0.10689843,0.11932474,-0.895861415,0.370326784,0.819319114
ENSMUSG00000051444,31.01454472,-0.513560586,0.574083155,-0.894575257,0.371014183,0.819319114
ENSMUSG00000060798,21.23478345,0.491406046,0.549604357,0.894108716,0.371263726,0.819319114
ENSMUSG00000063328,20.32038355,-0.408097216,0.454237105,-0.898423338,0.368959899,0.819319114
ENSMUSG00000064427,114.6973723,0.224724145,0.251193048,0.894627247,0.370986382,0.819319114
ENSMUSG00000072235,1095.712566,-0.189186472,0.211441371,-0.894746715,0.3709225,0.819319114
ENSMUSG00000075297,269.8949647,0.22348467,0.249132361,0.897051951,0.369691196,0.819319114
ENSMUSG00000079884,160.752817,0.205889324,0.229643991,0.896558729,0.369954429,0.819319114
ENSMUSG00000080746,22.89361473,-0.491532406,0.548126639,-0.896749713,0.369852487,0.819319114
ENSMUSG00000082195,21.02698545,0.465574212,0.520122682,0.895123839,0.370720892,0.819319114
ENSMUSG00000086533,109.4909784,-0.313982892,0.350164852,-0.896671639,0.369894158,0.819319114
ENSMUSG00000086938,91.64720685,-0.330087907,0.368483279,-0.895801589,0.370358741,0.819319114
ENSMUSG00000095041,5424.153073,0.126270217,0.140606367,0.898040535,0.36916394,0.819319114
ENSMUSG00000097141,41.28508867,-0.284925958,0.318431008,-0.894780819,0.370904266,0.819319114
ENSMUSG00000009079,6469.263724,0.149852743,0.167739405,0.89336637,0.371661006,0.820032517
ENSMUSG00000041236,561.1672245,-0.162015911,0.181377674,-0.893251672,0.371722412,0.820032517
ENSMUSG00000062981,192.7656821,-0.175431392,0.196453228,-0.892993174,0.371860828,0.82019143
ENSMUSG00000042178,515.695833,-0.144965974,0.162545275,-0.891849818,0.372473435,0.820956433
ENSMUSG00000048076,6783.218797,0.182525428,0.204623013,0.89200831,0.372388478,0.820956433
ENSMUSG00000061689,1207.317898,-0.179215027,0.200941981,-0.891874488,0.372460211,0.820956433
ENSMUSG00000089872,159.7122408,-0.207156123,0.23220587,-0.892122678,0.372327181,0.820956433
ENSMUSG00000021577,2774.51995,-0.10012798,0.11230978,-0.891533936,0.372642794,0.821183228
ENSMUSG00000029461,1042.829001,-0.256451488,0.287802096,-0.891068866,0.372892226,0.821439891
ENSMUSG00000097579,229.0543922,0.221305271,0.248348028,0.891109433,0.372870465,0.821439891
ENSMUSG00000032423,2606.403301,0.146242138,0.164180667,0.890739087,0.37306916,0.821683163
ENSMUSG00000017801,314.1913558,0.135945116,0.152664875,0.890480642,0.373207858,0.821695705
ENSMUSG00000037664,44.14443352,-0.360284589,0.404565746,-0.890546448,0.373172539,0.821695705
ENSMUSG00000022750,143.626666,-0.260829653,0.293154963,-0.889733028,0.373609255,0.822432915
ENSMUSG00000005514,1673.899477,0.142064403,0.15977485,0.889153726,0.373920468,0.822485277
ENSMUSG00000006333,20232.99921,-0.222157133,0.250032686,-0.888512366,0.374265207,0.822485277
ENSMUSG00000006941,394.6640401,-0.178069643,0.200326805,-0.88889574,0.374059115,0.822485277
ENSMUSG00000020346,895.8054264,-0.159763572,0.179814158,-0.888492729,0.374275765,0.822485277
ENSMUSG00000025209,203.0799,-0.162535275,0.182755105,-0.889361064,0.373809063,0.822485277
ENSMUSG00000027180,714.6725463,0.122506605,0.137926435,0.888202509,0.374431829,0.822485277
ENSMUSG00000030801,283.6865338,-0.204757222,0.230425517,-0.888604804,0.374215509,0.822485277
ENSMUSG00000038212,888.0429108,0.121136439,0.136352997,0.888403201,0.374323904,0.822485277
ENSMUSG00000038683,959.8287441,0.138297946,0.155562129,0.889020655,0.373991979,0.822485277
ENSMUSG00000067825,211.8803703,-0.247775991,0.278768876,-0.88882229,0.374098595,0.822485277
ENSMUSG00000071644,9848.178848,-0.17425831,0.196176392,-0.888273598,0.374393598,0.822485277
ENSMUSG00000108137,19.72836425,-0.663248978,0.746137096,-0.888910338,0.374051269,0.822485277
ENSMUSG00000000184,3061.803892,0.173280613,0.195401687,0.886791799,0.375191004,0.822544366
ENSMUSG00000019843,5759.085658,-0.123170273,0.138889279,-0.886823472,0.375173948,0.822544366
ENSMUSG00000022070,145.8428861,-0.190382487,0.21454589,-0.887374196,0.374877471,0.822544366
ENSMUSG00000025271,53.71746251,-0.264609588,0.29807309,-0.887733904,0.374683904,0.822544366
ENSMUSG00000026333,48.08037401,-0.37246969,0.419591317,-0.887696372,0.374704098,0.822544366
ENSMUSG00000031174,34.02927106,-0.407739924,0.45920875,-0.887918457,0.374584616,0.822544366
ENSMUSG00000037148,203.4610585,-0.162022488,0.182591273,-0.887350665,0.374890136,0.822544366
ENSMUSG00000039988,2582.180514,0.195472354,0.220342136,0.887131067,0.37500834,0.822544366
ENSMUSG00000076484,35.05325455,-0.347185774,0.391181296,-0.887531632,0.374792744,0.822544366
ENSMUSG00000083116,28.6364548,0.348134017,0.392472882,0.887026934,0.3750644,0.822544366
ENSMUSG00000087574,30.01539258,0.361097827,0.407176139,0.886834451,0.375168037,0.822544366
ENSMUSG00000020747,687.8540448,-0.287206352,0.324799842,-0.884256441,0.376557797,0.823190199
ENSMUSG00000020919,12160.63929,0.130841653,0.14802131,0.883937946,0.376729712,0.823190199
ENSMUSG00000022364,213.843493,0.232297193,0.262556197,0.884752277,0.376290254,0.823190199
ENSMUSG00000025532,295.8306687,-0.170515781,0.192750162,-0.884646626,0.376347251,0.823190199
ENSMUSG00000029464,777.7957478,0.228288454,0.257667668,0.885980207,0.375628193,0.823190199
ENSMUSG00000030811,322.2130189,-0.341628236,0.385654253,-0.885840705,0.375703372,0.823190199
ENSMUSG00000032579,334.5745947,-0.198602672,0.224563076,-0.884395939,0.376482514,0.823190199
ENSMUSG00000034105,74.38798438,-0.32439291,0.366620069,-0.884820384,0.376253514,0.823190199
ENSMUSG00000036120,223.6334281,0.164315572,0.185611576,0.885265756,0.376013315,0.823190199
ENSMUSG00000038324,3888.723775,-0.118132548,0.133532144,-0.884674989,0.376331949,0.823190199
ENSMUSG00000039670,21.16708531,-0.412257734,0.466394733,-0.883924505,0.376736968,0.823190199
ENSMUSG00000042644,2389.503483,-0.158653082,0.179465377,-0.8840317,0.376679101,0.823190199
ENSMUSG00000045377,40.93523071,0.564940301,0.638813001,0.884359429,0.376502217,0.823190199
ENSMUSG00000046139,1398.882266,0.127212568,0.143659625,0.885513709,0.375879629,0.823190199
ENSMUSG00000049164,340.412496,-0.256620048,0.289606528,-0.886098975,0.375564195,0.823190199
ENSMUSG00000054455,673.7425719,-0.200485145,0.226773006,-0.884078526,0.376653824,0.823190199
ENSMUSG00000090164,16.4445465,-0.521608779,0.589681309,-0.884560475,0.376393732,0.823190199
ENSMUSG00000101309,18.5517755,-0.46809688,0.529208924,-0.884521895,0.376414549,0.823190199
ENSMUSG00000106891,32.10970473,-0.532954389,0.602959336,-0.883897731,0.376751422,0.823190199
ENSMUSG00000016624,89.52741773,-0.266458316,0.30151033,-0.883745227,0.37683376,0.823224529
ENSMUSG00000036620,144.8540105,-0.188979691,0.213918184,-0.883420416,0.377009164,0.823462123
ENSMUSG00000106990,62.72922658,-0.537913192,0.609034997,-0.883222138,0.377116263,0.823550467
ENSMUSG00000028233,599.5492177,0.167910022,0.19014452,0.883065271,0.377201007,0.82358997
ENSMUSG00000050732,695.4300962,0.186880297,0.211774866,0.88244795,0.377534615,0.823858934
ENSMUSG00000078651,144.3027344,-0.25958796,0.294177656,-0.882419026,0.377550251,0.823858934
ENSMUSG00000083394,18.66583771,-0.567783199,0.643438768,-0.88241994,0.377549757,0.823858934
ENSMUSG00000113450,19.66802722,-0.453372683,0.513827677,-0.882343835,0.377590899,0.823858934
ENSMUSG00000016253,451.8233927,-0.211051034,0.239395896,-0.881598377,0.377994033,0.82391696
ENSMUSG00000019194,21.32614851,0.402292758,0.456434647,0.881380852,0.378111718,0.82391696
ENSMUSG00000038152,19.49120715,0.532553736,0.604276283,0.881308354,0.378150945,0.82391696
ENSMUSG00000038888,150.2636999,-0.186377264,0.211322019,-0.881958561,0.377799217,0.82391696
ENSMUSG00000042997,284.767098,-0.203281341,0.230584049,-0.881593248,0.377996808,0.82391696
ENSMUSG00000055633,23.77983601,-0.47516461,0.538672435,-0.882103074,0.37772107,0.82391696
ENSMUSG00000097195,932.2557725,0.24782544,0.28105628,0.881764464,0.377904192,0.82391696
ENSMUSG00000097290,328.7368951,-0.354127386,0.401768026,-0.88142252,0.378089173,0.82391696
ENSMUSG00000015092,1367.050297,0.147888642,0.167954485,0.880528089,0.378573296,0.823941552
ENSMUSG00000018379,3522.788192,-0.13588299,0.154253051,-0.88090958,0.378366762,0.823941552
ENSMUSG00000018481,1575.761167,0.115087083,0.130735902,0.880302054,0.3786957,0.823941552
ENSMUSG00000026664,223.748463,0.207348884,0.235500955,0.88045878,0.378610826,0.823941552
ENSMUSG00000028795,93.48988789,0.287330441,0.3261173,0.881064701,0.378282801,0.823941552
ENSMUSG00000028980,310.9287311,-0.180970834,0.205517749,-0.880560609,0.378555687,0.823941552
ENSMUSG00000030663,1069.219717,0.151127091,0.171662619,0.880372746,0.378657416,0.823941552
ENSMUSG00000051256,189.4800345,0.180786609,0.205295162,0.880617972,0.378524628,0.823941552
ENSMUSG00000086877,16.02048718,-0.606750606,0.689388003,-0.880129337,0.378789248,0.823999991
ENSMUSG00000042460,921.5034878,-0.127583135,0.145000542,-0.879880405,0.378924101,0.824148247
ENSMUSG00000026571,531.9686889,-0.162383337,0.184646108,-0.879430052,0.379168144,0.824403215
ENSMUSG00000031779,19.34457757,-0.509853292,0.579762291,-0.879417825,0.379174771,0.824403215
ENSMUSG00000015093,35.14206886,-0.394135438,0.448366567,-0.87904734,0.379375609,0.824549696
ENSMUSG00000032010,235.9607627,0.26980266,0.306913496,0.879083727,0.37935588,0.824549696
ENSMUSG00000020744,1515.293444,0.171694728,0.195496871,0.878247961,0.37980917,0.824788839
ENSMUSG00000021752,157.6253043,-0.182823792,0.208165982,-0.878259694,0.379802804,0.824788839
ENSMUSG00000026516,775.2949077,-0.19814182,0.225638219,-0.878139442,0.379868051,0.824788839
ENSMUSG00000030789,27.77776312,-0.683989872,0.778439116,-0.878668426,0.379581083,0.824788839
ENSMUSG00000059518,79.83129526,-0.224278434,0.255351551,-0.878312398,0.379774209,0.824788839
ENSMUSG00000059540,93.25007079,-0.22488268,0.256099671,-0.878106085,0.379886151,0.824788839
ENSMUSG00000021009,71.55843038,-0.338989535,0.386201714,-0.877752538,0.380078026,0.825019785
ENSMUSG00000050350,545.0608068,-0.249975775,0.284819433,-0.877664043,0.380126063,0.825019785
ENSMUSG00000003762,148.4333192,-0.2626617,0.30028029,-0.874721749,0.381725323,0.825185906
ENSMUSG00000004558,207.106251,-0.235310029,0.269514302,-0.87308921,0.382614455,0.825185906
ENSMUSG00000021241,205.7993327,-0.158260371,0.18072634,-0.875690676,0.381198215,0.825185906
ENSMUSG00000021901,1658.620402,0.150706052,0.172612112,0.873090834,0.38261357,0.825185906
ENSMUSG00000022443,25684.61558,0.09802693,0.111899366,0.876027576,0.381015042,0.825185906
ENSMUSG00000024544,1738.891727,-0.161993482,0.184817118,-0.876506917,0.380754518,0.825185906
ENSMUSG00000024683,259.5418005,0.229069516,0.2612504,0.876819771,0.380584538,0.825185906
ENSMUSG00000024854,176.9329288,0.245751516,0.280528484,0.876030528,0.381013438,0.825185906
ENSMUSG00000024999,340.0271268,-0.148850368,0.170158343,-0.874775608,0.381696012,0.825185906
ENSMUSG00000025995,595.1435032,0.14060829,0.160601277,0.875511657,0.381295571,0.825185906
ENSMUSG00000027677,1476.196463,-0.210697689,0.241305487,-0.873157471,0.382577252,0.825185906
ENSMUSG00000027770,1353.408961,0.095849315,0.109651481,0.874126957,0.382049118,0.825185906
ENSMUSG00000028700,283.0989535,-0.219309653,0.251219372,-0.87298066,0.38267362,0.825185906
ENSMUSG00000028931,1561.217428,-0.191177211,0.217956553,-0.877134492,0.380413592,0.825185906
ENSMUSG00000029060,640.4314197,-0.242024106,0.276465513,-0.875422413,0.381344109,0.825185906
ENSMUSG00000030435,3444.028232,0.139319931,0.159037564,0.876019016,0.381019696,0.825185906
ENSMUSG00000030744,21222.63973,-0.235926059,0.270063851,-0.873593627,0.382339598,0.825185906
ENSMUSG00000031506,1052.1453,0.238673427,0.2731604,0.87374827,0.382255357,0.825185906
ENSMUSG00000032352,212.0693595,-0.266641678,0.304664313,-0.875198265,0.381466037,0.825185906
ENSMUSG00000032563,482.2832143,0.133124564,0.15178709,0.877047998,0.380460568,0.825185906
ENSMUSG00000033883,152.8703208,-0.19324041,0.221164234,-0.873741683,0.382258946,0.825185906
ENSMUSG00000033916,1046.496061,0.142826028,0.163239434,0.874948069,0.381602162,0.825185906
ENSMUSG00000033970,246.6276598,0.240459091,0.275074555,0.8741597,0.38203129,0.825185906
ENSMUSG00000036026,726.2503425,0.257281947,0.294441172,0.873797455,0.382228566,0.825185906
ENSMUSG00000036820,202.2305962,-0.245034301,0.279743734,-0.875924182,0.381071253,0.825185906
ENSMUSG00000039148,2412.284988,-0.119502333,0.136565401,-0.8750557,0.381543599,0.825185906
ENSMUSG00000039556,49.77763405,-0.387607509,0.442932232,-0.875094386,0.381522552,0.825185906
ENSMUSG00000039745,173.5914573,-0.168478786,0.192922752,-0.873296612,0.382501426,0.825185906
ENSMUSG00000043059,580.8972583,0.137156882,0.156885941,0.874245845,0.381984385,0.825185906
ENSMUSG00000045822,82.33493206,-0.267159575,0.305379194,-0.874845374,0.381658045,0.825185906
ENSMUSG00000071337,680.1150235,-0.304244538,0.347168385,-0.87636015,0.380834275,0.825185906
ENSMUSG00000079038,137.2522362,0.205792375,0.235343484,0.874434132,0.381881876,0.825185906
ENSMUSG00000086039,18.18393815,0.47647158,0.543977262,0.875903486,0.381082504,0.825185906
ENSMUSG00000092371,28.47881967,-0.451238236,0.516880617,-0.87300282,0.382661541,0.825185906
ENSMUSG00000093384,101.8500813,0.206744351,0.235686001,0.877202505,0.380376656,0.825185906
ENSMUSG00000109539,38.0430482,0.382090768,0.437641929,0.873067096,0.382626507,0.825185906
ENSMUSG00000110317,33.88195485,-0.596133959,0.680959883,-0.875431833,0.381338985,0.825185906
ENSMUSG00000004561,502.8067391,-0.162747347,0.186464529,-0.872805931,0.382768866,0.82518825
ENSMUSG00000026600,637.1684598,-0.190069399,0.217787494,-0.87272871,0.382810965,0.82518825
ENSMUSG00000026798,34.48417814,-0.40985823,0.469691716,-0.872611152,0.38287506,0.82518825
ENSMUSG00000017615,577.1697141,0.167804747,0.19250274,0.871700562,0.383371753,0.82534765
ENSMUSG00000020918,545.8758795,-0.18872318,0.2166847,-0.870957573,0.383777319,0.82534765
ENSMUSG00000021712,361.568458,0.177952507,0.204222337,0.871366518,0.383554061,0.82534765
ENSMUSG00000022440,195.7261398,-0.188057636,0.215868628,-0.87116705,0.383662948,0.82534765
ENSMUSG00000026339,457.3615006,-0.216172093,0.247891011,-0.872044903,0.383183882,0.82534765
ENSMUSG00000028886,3242.319403,-0.246909047,0.283555185,-0.870761883,0.383884181,0.82534765
ENSMUSG00000028955,870.4889645,0.141843515,0.162707225,0.871771458,0.383333068,0.82534765
ENSMUSG00000030630,64.93114411,0.28951185,0.332455709,0.870828332,0.383847893,0.82534765
ENSMUSG00000031154,3159.43073,-0.136165834,0.156204054,-0.871717671,0.383362417,0.82534765
ENSMUSG00000032966,1412.748201,0.148636114,0.170603693,0.871236203,0.383625196,0.82534765
ENSMUSG00000036676,81.48997629,0.357359037,0.409743915,0.872152151,0.383125379,0.82534765
ENSMUSG00000040731,5142.712378,0.114893196,0.131925721,0.870893071,0.383812541,0.82534765
ENSMUSG00000048807,70.07020654,-0.234586853,0.269099326,-0.871748201,0.383345758,0.82534765
ENSMUSG00000051246,25.93094737,-0.384839597,0.44155607,-0.87155318,0.383452182,0.82534765
ENSMUSG00000058388,707.0946263,0.132035998,0.151659513,0.870608087,0.38396818,0.825384625
ENSMUSG00000028032,419.397106,-0.120714014,0.13867959,-0.87045263,0.384053096,0.825423561
ENSMUSG00000027366,1311.146383,0.185183147,0.212814512,0.870162213,0.384211763,0.825620964
ENSMUSG00000020149,1933.206645,0.170524961,0.196083164,0.869656311,0.384488254,0.826048139
ENSMUSG00000056076,3387.566829,0.1232673,0.141759246,0.869553861,0.384544261,0.826048139
ENSMUSG00000027551,528.7000773,0.145482684,0.167332373,0.869423422,0.384615576,0.82605772
ENSMUSG00000051671,77.25218969,-0.219622851,0.252668119,-0.869214731,0.384729692,0.826159206
ENSMUSG00000024491,1568.326593,0.129876575,0.149443586,0.869067572,0.384810173,0.826188443
ENSMUSG00000003824,33.10422028,-0.352385246,0.405557984,-0.868889924,0.384907341,0.826253493
ENSMUSG00000018995,101.0827133,-0.325509312,0.374877842,-0.868307686,0.385225916,0.826427126
ENSMUSG00000072844,34.28556087,0.403744232,0.464918741,0.868418923,0.385165039,0.826427126
ENSMUSG00000076928,4035.869295,0.214993085,0.247512309,0.868615732,0.385057347,0.826427126
ENSMUSG00000114797,836.5113103,0.116585202,0.134275588,0.868253146,0.385255766,0.826427126
ENSMUSG00000002250,849.2006953,0.157966281,0.182041108,0.867750604,0.385530877,0.826765965
ENSMUSG00000020954,653.5115454,0.116137298,0.133973266,0.866869201,0.38601368,0.826765965
ENSMUSG00000026791,176.503989,0.159676235,0.184094179,0.867361673,0.385743875,0.826765965
ENSMUSG00000031605,415.1058108,0.155713905,0.179527659,0.867353287,0.385748468,0.826765965
ENSMUSG00000032591,67.05424832,0.29518205,0.340513426,0.866873455,0.386011349,0.826765965
ENSMUSG00000043323,1968.28958,-0.0985283,0.113660477,-0.866865092,0.386015932,0.826765965
ENSMUSG00000058396,18.67780221,-0.492722595,0.568103624,-0.867311127,0.385771561,0.826765965
ENSMUSG00000063430,36.38603667,-0.359564277,0.414713113,-0.86701931,0.38593143,0.826765965
ENSMUSG00000064023,360.2657061,-0.24909065,0.287149788,-0.867458937,0.385690601,0.826765965
ENSMUSG00000030826,489.9358127,-0.228031137,0.263095034,-0.866725358,0.386092508,0.82678666
ENSMUSG00000000782,6662.654651,-0.271241726,0.313297324,-0.865764579,0.386619277,0.826842964
ENSMUSG00000020413,125.8577833,0.188802729,0.218044288,0.865891656,0.386549579,0.826842964
ENSMUSG00000021131,707.3238003,0.277192039,0.320053161,0.86608124,0.386445612,0.826842964
ENSMUSG00000024844,533.5700365,-0.191890359,0.22165893,-0.865701007,0.386654147,0.826842964
ENSMUSG00000030342,400.1982241,-0.164541263,0.189956558,-0.866204698,0.386377918,0.826842964
ENSMUSG00000036278,139.5566323,-0.304324299,0.351294181,-0.866294735,0.386328553,0.826842964
ENSMUSG00000062014,1540.244745,-0.159243018,0.183929061,-0.865784979,0.386608088,0.826842964
ENSMUSG00000075486,177.7844396,-0.179930149,0.207833459,-0.865741976,0.386631675,0.826842964
ENSMUSG00000019312,168.8174343,-0.175143689,0.202429337,-0.865209026,0.386924072,0.827067528
ENSMUSG00000027878,2344.277971,-0.18700643,0.216106095,-0.865345466,0.386849203,0.827067528
ENSMUSG00000031979,950.8283736,0.113106425,0.130737167,0.865143614,0.386959969,0.827067528
ENSMUSG00000017707,9113.226674,0.143698116,0.166182509,0.864700604,0.387203138,0.82730105
ENSMUSG00000048310,484.2981271,-0.220554946,0.255040801,-0.864782987,0.387157911,0.82730105
ENSMUSG00000011256,1072.349082,0.253714143,0.293754418,0.863694731,0.387755609,0.828031182
ENSMUSG00000019791,101.4430302,0.228861175,0.265193016,0.862998503,0.38813829,0.828031182
ENSMUSG00000025470,277.1286807,-0.239089405,0.276891274,-0.863477571,0.387874946,0.828031182
ENSMUSG00000034278,88.93681651,-0.229573773,0.265938155,-0.863260007,0.387994528,0.828031182
ENSMUSG00000036390,182.3297184,-0.273063857,0.316419369,-0.862980855,0.388147993,0.828031182
ENSMUSG00000040177,175.4650458,-0.186296024,0.215665985,-0.86381737,0.387688224,0.828031182
ENSMUSG00000068262,31.45115525,-0.455188611,0.527190941,-0.863422673,0.387905118,0.828031182
ENSMUSG00000073555,64.09828345,-0.312812093,0.362306773,-0.863390133,0.387923003,0.828031182
ENSMUSG00000108823,17.87133979,0.485524834,0.562540605,0.863092957,0.38808636,0.828031182
ENSMUSG00000001729,1550.402938,0.106063287,0.122942039,0.862709679,0.38829711,0.828078546
ENSMUSG00000032185,574.7692258,-0.114360671,0.132561846,-0.862696727,0.388304232,0.828078546
ENSMUSG00000027428,60.58015319,-0.395913967,0.459056657,-0.862451206,0.388439273,0.828223581
ENSMUSG00000035692,601.09852,0.470896534,0.546118931,0.862260045,0.388544434,0.82830487
ENSMUSG00000031700,24.99229702,-0.547657636,0.635319307,-0.862019506,0.388676784,0.828444082
ENSMUSG00000075419,113.5997553,-0.191476812,0.222163565,-0.861873151,0.388757325,0.828472837
ENSMUSG00000040680,17.0591299,0.434259629,0.503935632,0.861736304,0.388832643,0.828490453
ENSMUSG00000029389,406.8886859,-0.143384112,0.166485688,-0.861239868,0.389105947,0.828929841
ENSMUSG00000030979,113.4148547,-0.276974678,0.321843762,-0.860587374,0.389465342,0.829088236
ENSMUSG00000034401,369.1207478,-0.322742489,0.375065735,-0.860495798,0.389515799,0.829088236
ENSMUSG00000035242,5282.303582,-0.2017846,0.234471541,-0.860593142,0.389462164,0.829088236
ENSMUSG00000060121,96.71562128,-0.220988696,0.25670789,-0.860856656,0.389316997,0.829088236
ENSMUSG00000094441,226.9477044,-0.154802105,0.179807188,-0.860933906,0.389274446,0.829088236
ENSMUSG00000027067,2034.673543,0.10960719,0.127484941,0.85976578,0.389918166,0.82937319
ENSMUSG00000029621,898.2230411,0.175395589,0.203973464,0.859894153,0.389847392,0.82937319
ENSMUSG00000032235,180.4519019,-0.191563614,0.222796333,-0.859814931,0.389891067,0.82937319
ENSMUSG00000054520,158.4772886,-0.279277627,0.324791115,-0.859868433,0.389861571,0.82937319
ENSMUSG00000032965,38.63805737,-0.329049878,0.382880526,-0.859406148,0.390116479,0.829652189
ENSMUSG00000020696,163.5276564,-0.211850784,0.24665181,-0.858906261,0.390392235,0.829834541
ENSMUSG00000040913,190.8902522,-0.204509664,0.238141027,-0.858775437,0.390464422,0.829834541
ENSMUSG00000057411,249.8911466,-0.179621122,0.209083948,-0.85908614,0.390292993,0.829834541
ENSMUSG00000081992,32.63313673,0.388927068,0.452891805,0.858763758,0.390470866,0.829834541
ENSMUSG00000031916,630.3529175,-0.158287935,0.184370521,-0.858531689,0.39059894,0.829892358
